The 0 round: 56 buy tx | 43 sell tx | 1 unfinished tx.
The 1 round: 47 buy tx | 53 sell tx | 1 unfinished tx.
The 2 round: 50 buy tx | 51 sell tx | 0 unfinished tx.
The 3 round: 50 buy tx | 50 sell tx | 0 unfinished tx.
The 4 round: 50 buy tx | 50 sell tx | 0 unfinished tx.
The 5 round: 55 buy tx | 44 sell tx | 1 unfinished tx.
The 6 round: 50 buy tx | 51 sell tx | 0 unfinished tx.
The 7 round: 51 buy tx | 49 sell tx | 0 unfinished tx.
The 8 round: 44 buy tx | 55 sell tx | 1 unfinished tx.
The 9 round: 52 buy tx | 48 sell tx | 1 unfinished tx.
The 10 round: 58 buy tx | 40 sell tx | 3 unfinished tx.
The 11 round: 59 buy tx | 42 sell tx | 2 unfinished tx.
The 12 round: 46 buy tx | 54 sell tx | 2 unfinished tx.
The 13 round: 53 buy tx | 47 sell tx | 2 unfinished tx.
The 14 round: 40 buy tx | 59 sell tx | 3 unfinished tx.
The 15 round: 42 buy tx | 58 sell tx | 3 unfinished tx.
The 16 round: 48 buy tx | 54 sell tx | 1 unfinished tx.
The 17 round: 56 buy tx | 43 sell tx | 2 unfinished tx.
The 18 round: 41 buy tx | 57 sell tx | 4 unfinished tx.
The 19 round: 44 buy tx | 57 sell tx | 3 unfinished tx.
The 20 round: 47 buy tx | 53 sell tx | 3 unfinished tx.
The 21 round: 56 buy tx | 43 sell tx | 4 unfinished tx.
The 22 round: 46 buy tx | 54 sell tx | 4 unfinished tx.
The 23 round: 58 buy tx | 43 sell tx | 3 unfinished tx.
The 24 round: 45 buy tx | 55 sell tx | 3 unfinished tx.
The 25 round: 39 buy tx | 61 sell tx | 3 unfinished tx.
The 26 round: 57 buy tx | 43 sell tx | 3 unfinished tx.
The 27 round: 56 buy tx | 43 sell tx | 4 unfinished tx.
The 28 round: 53 buy tx | 47 sell tx | 4 unfinished tx.
The 29 round: 51 buy tx | 48 sell tx | 5 unfinished tx.
The 30 round: 46 buy tx | 54 sell tx | 5 unfinished tx.
The 31 round: 51 buy tx | 49 sell tx | 5 unfinished tx.
The 32 round: 53 buy tx | 49 sell tx | 3 unfinished tx.
The 33 round: 57 buy tx | 43 sell tx | 3 unfinished tx.
The 34 round: 50 buy tx | 50 sell tx | 3 unfinished tx.
The 35 round: 53 buy tx | 46 sell tx | 4 unfinished tx.
The 36 round: 41 buy tx | 59 sell tx | 4 unfinished tx.
The 37 round: 58 buy tx | 42 sell tx | 4 unfinished tx.
The 38 round: 55 buy tx | 44 sell tx | 5 unfinished tx.
The 39 round: 53 buy tx | 48 sell tx | 4 unfinished tx.
The 40 round: 47 buy tx | 54 sell tx | 3 unfinished tx.
The 41 round: 57 buy tx | 43 sell tx | 3 unfinished tx.
The 42 round: 57 buy tx | 43 sell tx | 3 unfinished tx.
The 43 round: 52 buy tx | 48 sell tx | 3 unfinished tx.
The 44 round: 48 buy tx | 52 sell tx | 3 unfinished tx.
The 45 round: 59 buy tx | 41 sell tx | 3 unfinished tx.
The 46 round: 45 buy tx | 55 sell tx | 3 unfinished tx.
The 47 round: 48 buy tx | 52 sell tx | 3 unfinished tx.
The 48 round: 54 buy tx | 46 sell tx | 3 unfinished tx.
The 49 round: 47 buy tx | 53 sell tx | 3 unfinished tx.
The 50 round: 101 buy tx | 0 sell tx | 2 unfinished tx.
The 51 round: 51 buy tx | 47 sell tx | 4 unfinished tx.
The 52 round: 50 buy tx | 50 sell tx | 4 unfinished tx.
The 53 round: 56 buy tx | 44 sell tx | 4 unfinished tx.
The 54 round: 42 buy tx | 57 sell tx | 5 unfinished tx.
The 55 round: 47 buy tx | 52 sell tx | 6 unfinished tx.
The 56 round: 50 buy tx | 50 sell tx | 6 unfinished tx.
The 57 round: 55 buy tx | 47 sell tx | 4 unfinished tx.
The 58 round: 60 buy tx | 40 sell tx | 4 unfinished tx.
The 59 round: 57 buy tx | 43 sell tx | 4 unfinished tx.
The 60 round: 48 buy tx | 51 sell tx | 5 unfinished tx.
The 61 round: 45 buy tx | 53 sell tx | 7 unfinished tx.
The 62 round: 52 buy tx | 48 sell tx | 7 unfinished tx.
The 63 round: 44 buy tx | 57 sell tx | 6 unfinished tx.
The 64 round: 45 buy tx | 55 sell tx | 6 unfinished tx.
The 65 round: 46 buy tx | 55 sell tx | 5 unfinished tx.
The 66 round: 44 buy tx | 56 sell tx | 5 unfinished tx.
The 67 round: 53 buy tx | 46 sell tx | 6 unfinished tx.
The 68 round: 59 buy tx | 42 sell tx | 5 unfinished tx.
The 69 round: 44 buy tx | 56 sell tx | 5 unfinished tx.
The 70 round: 42 buy tx | 58 sell tx | 5 unfinished tx.
The 71 round: 49 buy tx | 51 sell tx | 5 unfinished tx.
The 72 round: 51 buy tx | 49 sell tx | 5 unfinished tx.
The 73 round: 45 buy tx | 54 sell tx | 6 unfinished tx.
The 74 round: 51 buy tx | 48 sell tx | 7 unfinished tx.
The 75 round: 40 buy tx | 59 sell tx | 8 unfinished tx.
The 76 round: 46 buy tx | 53 sell tx | 9 unfinished tx.
The 77 round: 50 buy tx | 50 sell tx | 9 unfinished tx.
The 78 round: 47 buy tx | 51 sell tx | 11 unfinished tx.
The 79 round: 50 buy tx | 47 sell tx | 14 unfinished tx.
The 80 round: 50 buy tx | 51 sell tx | 13 unfinished tx.
The 81 round: 55 buy tx | 47 sell tx | 11 unfinished tx.
The 82 round: 54 buy tx | 46 sell tx | 11 unfinished tx.
The 83 round: 54 buy tx | 46 sell tx | 11 unfinished tx.
The 84 round: 46 buy tx | 54 sell tx | 11 unfinished tx.
The 85 round: 47 buy tx | 54 sell tx | 10 unfinished tx.
The 86 round: 52 buy tx | 47 sell tx | 11 unfinished tx.
The 87 round: 47 buy tx | 52 sell tx | 12 unfinished tx.
The 88 round: 52 buy tx | 48 sell tx | 12 unfinished tx.
The 89 round: 56 buy tx | 45 sell tx | 11 unfinished tx.
The 90 round: 56 buy tx | 44 sell tx | 11 unfinished tx.
The 91 round: 56 buy tx | 45 sell tx | 10 unfinished tx.
The 92 round: 48 buy tx | 54 sell tx | 8 unfinished tx.
The 93 round: 50 buy tx | 50 sell tx | 8 unfinished tx.
The 94 round: 53 buy tx | 47 sell tx | 8 unfinished tx.
The 95 round: 46 buy tx | 54 sell tx | 8 unfinished tx.
The 96 round: 51 buy tx | 48 sell tx | 9 unfinished tx.
The 97 round: 52 buy tx | 48 sell tx | 9 unfinished tx.
The 98 round: 56 buy tx | 42 sell tx | 11 unfinished tx.
The 99 round: 45 buy tx | 55 sell tx | 11 unfinished tx.
The 100 round: 101 buy tx | 0 sell tx | 10 unfinished tx.
The 101 round: 55 buy tx | 49 sell tx | 6 unfinished tx.
The 102 round: 47 buy tx | 53 sell tx | 6 unfinished tx.
The 103 round: 47 buy tx | 53 sell tx | 6 unfinished tx.
The 104 round: 50 buy tx | 50 sell tx | 6 unfinished tx.
The 105 round: 52 buy tx | 47 sell tx | 7 unfinished tx.
The 106 round: 42 buy tx | 59 sell tx | 6 unfinished tx.
The 107 round: 57 buy tx | 43 sell tx | 6 unfinished tx.
The 108 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 109 round: 45 buy tx | 55 sell tx | 6 unfinished tx.
The 110 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 111 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 112 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 113 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 114 round: 53 buy tx | 47 sell tx | 6 unfinished tx.
The 115 round: 46 buy tx | 54 sell tx | 6 unfinished tx.
The 116 round: 53 buy tx | 46 sell tx | 7 unfinished tx.
The 117 round: 53 buy tx | 47 sell tx | 7 unfinished tx.
The 118 round: 51 buy tx | 48 sell tx | 8 unfinished tx.
The 119 round: 59 buy tx | 41 sell tx | 8 unfinished tx.
The 120 round: 51 buy tx | 50 sell tx | 7 unfinished tx.
The 121 round: 59 buy tx | 41 sell tx | 7 unfinished tx.
The 122 round: 47 buy tx | 52 sell tx | 8 unfinished tx.
The 123 round: 43 buy tx | 56 sell tx | 9 unfinished tx.
The 124 round: 38 buy tx | 61 sell tx | 10 unfinished tx.
The 125 round: 44 buy tx | 57 sell tx | 9 unfinished tx.
The 126 round: 51 buy tx | 48 sell tx | 10 unfinished tx.
The 127 round: 47 buy tx | 53 sell tx | 10 unfinished tx.
The 128 round: 45 buy tx | 55 sell tx | 10 unfinished tx.
The 129 round: 44 buy tx | 56 sell tx | 10 unfinished tx.
The 130 round: 52 buy tx | 48 sell tx | 10 unfinished tx.
The 131 round: 55 buy tx | 45 sell tx | 10 unfinished tx.
The 132 round: 48 buy tx | 51 sell tx | 11 unfinished tx.
The 133 round: 52 buy tx | 48 sell tx | 11 unfinished tx.
The 134 round: 44 buy tx | 57 sell tx | 10 unfinished tx.
The 135 round: 58 buy tx | 41 sell tx | 11 unfinished tx.
The 136 round: 57 buy tx | 45 sell tx | 9 unfinished tx.
The 137 round: 44 buy tx | 56 sell tx | 9 unfinished tx.
The 138 round: 38 buy tx | 62 sell tx | 9 unfinished tx.
The 139 round: 48 buy tx | 52 sell tx | 9 unfinished tx.
The 140 round: 57 buy tx | 43 sell tx | 9 unfinished tx.
The 141 round: 48 buy tx | 52 sell tx | 9 unfinished tx.
The 142 round: 52 buy tx | 48 sell tx | 9 unfinished tx.
The 143 round: 30 buy tx | 68 sell tx | 11 unfinished tx.
The 144 round: 50 buy tx | 50 sell tx | 11 unfinished tx.
The 145 round: 54 buy tx | 46 sell tx | 11 unfinished tx.
The 146 round: 50 buy tx | 50 sell tx | 11 unfinished tx.
The 147 round: 46 buy tx | 54 sell tx | 11 unfinished tx.
The 148 round: 50 buy tx | 53 sell tx | 8 unfinished tx.
The 149 round: 51 buy tx | 49 sell tx | 8 unfinished tx.
The 150 round: 100 buy tx | 0 sell tx | 8 unfinished tx.
The 151 round: 48 buy tx | 54 sell tx | 6 unfinished tx.
The 152 round: 55 buy tx | 45 sell tx | 6 unfinished tx.
The 153 round: 59 buy tx | 41 sell tx | 6 unfinished tx.
The 154 round: 50 buy tx | 51 sell tx | 5 unfinished tx.
The 155 round: 43 buy tx | 56 sell tx | 6 unfinished tx.
The 156 round: 50 buy tx | 50 sell tx | 6 unfinished tx.
The 157 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 158 round: 46 buy tx | 55 sell tx | 5 unfinished tx.
The 159 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 160 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 161 round: 52 buy tx | 48 sell tx | 5 unfinished tx.
The 162 round: 55 buy tx | 45 sell tx | 5 unfinished tx.
The 163 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 164 round: 44 buy tx | 56 sell tx | 5 unfinished tx.
The 165 round: 46 buy tx | 54 sell tx | 5 unfinished tx.
The 166 round: 47 buy tx | 52 sell tx | 6 unfinished tx.
The 167 round: 38 buy tx | 60 sell tx | 8 unfinished tx.
The 168 round: 43 buy tx | 57 sell tx | 8 unfinished tx.
The 169 round: 56 buy tx | 44 sell tx | 8 unfinished tx.
The 170 round: 50 buy tx | 50 sell tx | 8 unfinished tx.
The 171 round: 49 buy tx | 50 sell tx | 9 unfinished tx.
The 172 round: 50 buy tx | 49 sell tx | 10 unfinished tx.
The 173 round: 46 buy tx | 54 sell tx | 10 unfinished tx.
The 174 round: 51 buy tx | 48 sell tx | 11 unfinished tx.
The 175 round: 55 buy tx | 46 sell tx | 10 unfinished tx.
The 176 round: 54 buy tx | 46 sell tx | 10 unfinished tx.
The 177 round: 51 buy tx | 49 sell tx | 10 unfinished tx.
The 178 round: 53 buy tx | 47 sell tx | 10 unfinished tx.
The 179 round: 50 buy tx | 50 sell tx | 10 unfinished tx.
The 180 round: 53 buy tx | 47 sell tx | 10 unfinished tx.
The 181 round: 53 buy tx | 47 sell tx | 10 unfinished tx.
The 182 round: 54 buy tx | 45 sell tx | 11 unfinished tx.
The 183 round: 56 buy tx | 45 sell tx | 10 unfinished tx.
The 184 round: 55 buy tx | 45 sell tx | 10 unfinished tx.
The 185 round: 54 buy tx | 46 sell tx | 10 unfinished tx.
The 186 round: 52 buy tx | 50 sell tx | 8 unfinished tx.
The 187 round: 41 buy tx | 58 sell tx | 9 unfinished tx.
The 188 round: 47 buy tx | 51 sell tx | 11 unfinished tx.
The 189 round: 46 buy tx | 54 sell tx | 11 unfinished tx.
The 190 round: 49 buy tx | 51 sell tx | 11 unfinished tx.
The 191 round: 54 buy tx | 46 sell tx | 11 unfinished tx.
The 192 round: 48 buy tx | 54 sell tx | 9 unfinished tx.
The 193 round: 53 buy tx | 45 sell tx | 11 unfinished tx.
The 194 round: 46 buy tx | 53 sell tx | 12 unfinished tx.
The 195 round: 50 buy tx | 52 sell tx | 10 unfinished tx.
The 196 round: 54 buy tx | 44 sell tx | 12 unfinished tx.
The 197 round: 55 buy tx | 48 sell tx | 9 unfinished tx.
The 198 round: 48 buy tx | 54 sell tx | 7 unfinished tx.
The 199 round: 49 buy tx | 51 sell tx | 7 unfinished tx.
The 200 round: 100 buy tx | 0 sell tx | 7 unfinished tx.
The 201 round: 42 buy tx | 59 sell tx | 6 unfinished tx.
The 202 round: 45 buy tx | 55 sell tx | 6 unfinished tx.
The 203 round: 54 buy tx | 44 sell tx | 8 unfinished tx.
The 204 round: 60 buy tx | 42 sell tx | 6 unfinished tx.
The 205 round: 54 buy tx | 46 sell tx | 6 unfinished tx.
The 206 round: 55 buy tx | 45 sell tx | 6 unfinished tx.
The 207 round: 46 buy tx | 54 sell tx | 6 unfinished tx.
The 208 round: 42 buy tx | 58 sell tx | 6 unfinished tx.
The 209 round: 47 buy tx | 53 sell tx | 6 unfinished tx.
The 210 round: 47 buy tx | 53 sell tx | 6 unfinished tx.
The 211 round: 46 buy tx | 53 sell tx | 7 unfinished tx.
