The 0 round: 517 buy tx | 467 sell tx | 16 unfinished tx.
The 1 round: 482 buy tx | 519 sell tx | 15 unfinished tx.
The 2 round: 505 buy tx | 490 sell tx | 20 unfinished tx.
The 3 round: 494 buy tx | 505 sell tx | 21 unfinished tx.
The 4 round: 502 buy tx | 493 sell tx | 26 unfinished tx.
The 5 round: 483 buy tx | 519 sell tx | 24 unfinished tx.
The 6 round: 500 buy tx | 494 sell tx | 30 unfinished tx.
The 7 round: 501 buy tx | 497 sell tx | 32 unfinished tx.
The 8 round: 496 buy tx | 504 sell tx | 32 unfinished tx.
The 9 round: 508 buy tx | 488 sell tx | 36 unfinished tx.
The 10 round: 491 buy tx | 511 sell tx | 34 unfinished tx.
The 11 round: 506 buy tx | 500 sell tx | 28 unfinished tx.
The 12 round: 481 buy tx | 521 sell tx | 26 unfinished tx.
The 13 round: 501 buy tx | 491 sell tx | 34 unfinished tx.
The 14 round: 500 buy tx | 502 sell tx | 32 unfinished tx.
The 15 round: 523 buy tx | 466 sell tx | 43 unfinished tx.
The 16 round: 465 buy tx | 533 sell tx | 45 unfinished tx.
The 17 round: 518 buy tx | 477 sell tx | 50 unfinished tx.
The 18 round: 502 buy tx | 493 sell tx | 55 unfinished tx.
The 19 round: 514 buy tx | 491 sell tx | 50 unfinished tx.
The 20 round: 500 buy tx | 499 sell tx | 51 unfinished tx.
The 21 round: 503 buy tx | 498 sell tx | 50 unfinished tx.
The 22 round: 502 buy tx | 495 sell tx | 53 unfinished tx.
The 23 round: 494 buy tx | 515 sell tx | 44 unfinished tx.
The 24 round: 493 buy tx | 508 sell tx | 43 unfinished tx.
The 25 round: 497 buy tx | 501 sell tx | 45 unfinished tx.
The 26 round: 512 buy tx | 480 sell tx | 53 unfinished tx.
The 27 round: 520 buy tx | 480 sell tx | 53 unfinished tx.
The 28 round: 493 buy tx | 506 sell tx | 54 unfinished tx.
The 29 round: 513 buy tx | 494 sell tx | 47 unfinished tx.
The 30 round: 504 buy tx | 491 sell tx | 52 unfinished tx.
The 31 round: 503 buy tx | 501 sell tx | 48 unfinished tx.
The 32 round: 487 buy tx | 503 sell tx | 58 unfinished tx.
The 33 round: 488 buy tx | 506 sell tx | 64 unfinished tx.
The 34 round: 504 buy tx | 495 sell tx | 65 unfinished tx.
The 35 round: 519 buy tx | 496 sell tx | 50 unfinished tx.
The 36 round: 491 buy tx | 520 sell tx | 39 unfinished tx.
The 37 round: 494 buy tx | 500 sell tx | 45 unfinished tx.
The 38 round: 516 buy tx | 481 sell tx | 48 unfinished tx.
The 39 round: 511 buy tx | 498 sell tx | 39 unfinished tx.
The 40 round: 491 buy tx | 504 sell tx | 44 unfinished tx.
The 41 round: 496 buy tx | 489 sell tx | 59 unfinished tx.
The 42 round: 496 buy tx | 500 sell tx | 63 unfinished tx.
The 43 round: 499 buy tx | 488 sell tx | 76 unfinished tx.
The 44 round: 501 buy tx | 510 sell tx | 65 unfinished tx.
The 45 round: 502 buy tx | 481 sell tx | 82 unfinished tx.
The 46 round: 523 buy tx | 491 sell tx | 68 unfinished tx.
The 47 round: 516 buy tx | 483 sell tx | 69 unfinished tx.
The 48 round: 518 buy tx | 482 sell tx | 69 unfinished tx.
The 49 round: 506 buy tx | 490 sell tx | 73 unfinished tx.
The 50 round: 506 buy tx | 499 sell tx | 68 unfinished tx.
The 51 round: 506 buy tx | 495 sell tx | 67 unfinished tx.
The 52 round: 489 buy tx | 503 sell tx | 75 unfinished tx.
The 53 round: 477 buy tx | 529 sell tx | 69 unfinished tx.
The 54 round: 502 buy tx | 517 sell tx | 50 unfinished tx.
The 55 round: 489 buy tx | 505 sell tx | 56 unfinished tx.
The 56 round: 512 buy tx | 468 sell tx | 76 unfinished tx.
The 57 round: 496 buy tx | 510 sell tx | 70 unfinished tx.
The 58 round: 520 buy tx | 488 sell tx | 62 unfinished tx.
The 59 round: 484 buy tx | 514 sell tx | 64 unfinished tx.
The 60 round: 483 buy tx | 518 sell tx | 63 unfinished tx.
The 61 round: 486 buy tx | 515 sell tx | 62 unfinished tx.
The 62 round: 517 buy tx | 479 sell tx | 66 unfinished tx.
