The 0 round: 42 buy tx | 45 sell tx | 13 unfinished tx.
The 1 round: 53 buy tx | 44 sell tx | 16 unfinished tx.
The 2 round: 53 buy tx | 42 sell tx | 21 unfinished tx.
The 3 round: 46 buy tx | 40 sell tx | 35 unfinished tx.
The 4 round: 52 buy tx | 53 sell tx | 30 unfinished tx.
The 5 round: 48 buy tx | 46 sell tx | 36 unfinished tx.
The 6 round: 54 buy tx | 51 sell tx | 31 unfinished tx.
The 7 round: 53 buy tx | 55 sell tx | 23 unfinished tx.
The 8 round: 55 buy tx | 43 sell tx | 25 unfinished tx.
The 9 round: 50 buy tx | 48 sell tx | 27 unfinished tx.
The 10 round: 45 buy tx | 43 sell tx | 39 unfinished tx.
The 11 round: 48 buy tx | 50 sell tx | 41 unfinished tx.
The 12 round: 54 buy tx | 46 sell tx | 41 unfinished tx.
The 13 round: 48 buy tx | 51 sell tx | 42 unfinished tx.
The 14 round: 51 buy tx | 44 sell tx | 47 unfinished tx.
The 15 round: 44 buy tx | 36 sell tx | 67 unfinished tx.
The 16 round: 58 buy tx | 57 sell tx | 52 unfinished tx.
The 17 round: 47 buy tx | 51 sell tx | 54 unfinished tx.
The 18 round: 53 buy tx | 49 sell tx | 52 unfinished tx.
The 19 round: 46 buy tx | 52 sell tx | 54 unfinished tx.
The 20 round: 54 buy tx | 52 sell tx | 48 unfinished tx.
The 21 round: 52 buy tx | 42 sell tx | 54 unfinished tx.
The 22 round: 50 buy tx | 56 sell tx | 48 unfinished tx.
The 23 round: 38 buy tx | 48 sell tx | 62 unfinished tx.
The 24 round: 46 buy tx | 50 sell tx | 66 unfinished tx.
The 25 round: 54 buy tx | 62 sell tx | 50 unfinished tx.
The 26 round: 47 buy tx | 46 sell tx | 57 unfinished tx.
The 27 round: 49 buy tx | 45 sell tx | 63 unfinished tx.
The 28 round: 51 buy tx | 44 sell tx | 68 unfinished tx.
The 29 round: 54 buy tx | 44 sell tx | 70 unfinished tx.
The 30 round: 50 buy tx | 57 sell tx | 63 unfinished tx.
The 31 round: 57 buy tx | 57 sell tx | 49 unfinished tx.
The 32 round: 50 buy tx | 47 sell tx | 52 unfinished tx.
The 33 round: 52 buy tx | 39 sell tx | 61 unfinished tx.
The 34 round: 48 buy tx | 44 sell tx | 69 unfinished tx.
The 35 round: 55 buy tx | 49 sell tx | 65 unfinished tx.
The 36 round: 46 buy tx | 55 sell tx | 64 unfinished tx.
The 37 round: 43 buy tx | 45 sell tx | 76 unfinished tx.
The 38 round: 54 buy tx | 49 sell tx | 73 unfinished tx.
The 39 round: 48 buy tx | 50 sell tx | 75 unfinished tx.
The 40 round: 48 buy tx | 50 sell tx | 77 unfinished tx.
The 41 round: 41 buy tx | 52 sell tx | 84 unfinished tx.
The 42 round: 55 buy tx | 58 sell tx | 71 unfinished tx.
The 43 round: 54 buy tx | 48 sell tx | 69 unfinished tx.
The 44 round: 42 buy tx | 41 sell tx | 86 unfinished tx.
The 45 round: 42 buy tx | 47 sell tx | 97 unfinished tx.
The 46 round: 45 buy tx | 41 sell tx | 111 unfinished tx.
The 47 round: 54 buy tx | 54 sell tx | 103 unfinished tx.
The 48 round: 47 buy tx | 56 sell tx | 100 unfinished tx.
The 49 round: 52 buy tx | 46 sell tx | 102 unfinished tx.
The 50 round: 53 buy tx | 47 sell tx | 102 unfinished tx.
The 51 round: 63 buy tx | 61 sell tx | 78 unfinished tx.
The 52 round: 52 buy tx | 48 sell tx | 78 unfinished tx.
The 53 round: 44 buy tx | 52 sell tx | 82 unfinished tx.
The 54 round: 53 buy tx | 42 sell tx | 87 unfinished tx.
The 55 round: 59 buy tx | 44 sell tx | 84 unfinished tx.
The 56 round: 45 buy tx | 52 sell tx | 87 unfinished tx.
The 57 round: 47 buy tx | 47 sell tx | 93 unfinished tx.
The 58 round: 47 buy tx | 43 sell tx | 103 unfinished tx.
The 59 round: 51 buy tx | 47 sell tx | 105 unfinished tx.
The 60 round: 42 buy tx | 50 sell tx | 113 unfinished tx.
The 61 round: 53 buy tx | 47 sell tx | 113 unfinished tx.
The 62 round: 42 buy tx | 47 sell tx | 124 unfinished tx.
The 63 round: 40 buy tx | 55 sell tx | 129 unfinished tx.
The 64 round: 47 buy tx | 48 sell tx | 134 unfinished tx.
The 65 round: 44 buy tx | 46 sell tx | 144 unfinished tx.
The 66 round: 52 buy tx | 50 sell tx | 142 unfinished tx.
The 67 round: 56 buy tx | 54 sell tx | 132 unfinished tx.
The 68 round: 56 buy tx | 54 sell tx | 122 unfinished tx.
The 69 round: 48 buy tx | 43 sell tx | 131 unfinished tx.
The 70 round: 42 buy tx | 45 sell tx | 144 unfinished tx.
The 71 round: 51 buy tx | 50 sell tx | 143 unfinished tx.
The 72 round: 46 buy tx | 50 sell tx | 147 unfinished tx.
The 73 round: 41 buy tx | 52 sell tx | 154 unfinished tx.
The 74 round: 52 buy tx | 49 sell tx | 153 unfinished tx.
