The 0 round: 26 buy tx | 31 sell tx | 43 unfinished tx.
The 1 round: 21 buy tx | 26 sell tx | 96 unfinished tx.
The 2 round: 20 buy tx | 29 sell tx | 147 unfinished tx.
The 3 round: 24 buy tx | 25 sell tx | 198 unfinished tx.
The 4 round: 24 buy tx | 23 sell tx | 251 unfinished tx.
The 5 round: 23 buy tx | 26 sell tx | 302 unfinished tx.
The 6 round: 23 buy tx | 24 sell tx | 355 unfinished tx.
The 7 round: 31 buy tx | 24 sell tx | 400 unfinished tx.
The 8 round: 27 buy tx | 28 sell tx | 445 unfinished tx.
The 9 round: 27 buy tx | 27 sell tx | 491 unfinished tx.
The 10 round: 31 buy tx | 26 sell tx | 534 unfinished tx.
The 11 round: 23 buy tx | 30 sell tx | 581 unfinished tx.
The 12 round: 27 buy tx | 27 sell tx | 627 unfinished tx.
The 13 round: 38 buy tx | 15 sell tx | 674 unfinished tx.
The 14 round: 24 buy tx | 28 sell tx | 722 unfinished tx.
The 15 round: 23 buy tx | 29 sell tx | 770 unfinished tx.
The 16 round: 29 buy tx | 21 sell tx | 820 unfinished tx.
The 17 round: 24 buy tx | 23 sell tx | 873 unfinished tx.
The 18 round: 24 buy tx | 24 sell tx | 925 unfinished tx.
The 19 round: 25 buy tx | 21 sell tx | 979 unfinished tx.
The 20 round: 25 buy tx | 30 sell tx | 1024 unfinished tx.
The 21 round: 28 buy tx | 23 sell tx | 1073 unfinished tx.
The 22 round: 30 buy tx | 19 sell tx | 1124 unfinished tx.
The 23 round: 32 buy tx | 26 sell tx | 1166 unfinished tx.
The 24 round: 24 buy tx | 33 sell tx | 1209 unfinished tx.
The 25 round: 22 buy tx | 25 sell tx | 1262 unfinished tx.
The 26 round: 34 buy tx | 20 sell tx | 1308 unfinished tx.
The 27 round: 24 buy tx | 35 sell tx | 1349 unfinished tx.
The 28 round: 16 buy tx | 30 sell tx | 1403 unfinished tx.
The 29 round: 35 buy tx | 28 sell tx | 1440 unfinished tx.
The 30 round: 27 buy tx | 28 sell tx | 1485 unfinished tx.
The 31 round: 29 buy tx | 26 sell tx | 1530 unfinished tx.
The 32 round: 24 buy tx | 22 sell tx | 1584 unfinished tx.
The 33 round: 22 buy tx | 26 sell tx | 1636 unfinished tx.
The 34 round: 21 buy tx | 30 sell tx | 1685 unfinished tx.
The 35 round: 22 buy tx | 20 sell tx | 1743 unfinished tx.
The 36 round: 24 buy tx | 32 sell tx | 1787 unfinished tx.
The 37 round: 31 buy tx | 25 sell tx | 1831 unfinished tx.
The 38 round: 22 buy tx | 32 sell tx | 1877 unfinished tx.
The 39 round: 26 buy tx | 29 sell tx | 1922 unfinished tx.
The 40 round: 23 buy tx | 25 sell tx | 1974 unfinished tx.
The 41 round: 19 buy tx | 15 sell tx | 2040 unfinished tx.
The 42 round: 24 buy tx | 29 sell tx | 2087 unfinished tx.
The 43 round: 27 buy tx | 30 sell tx | 2130 unfinished tx.
The 44 round: 21 buy tx | 31 sell tx | 2178 unfinished tx.
The 45 round: 32 buy tx | 19 sell tx | 2227 unfinished tx.
The 46 round: 27 buy tx | 17 sell tx | 2283 unfinished tx.
The 47 round: 23 buy tx | 24 sell tx | 2336 unfinished tx.
The 48 round: 28 buy tx | 32 sell tx | 2376 unfinished tx.
The 49 round: 27 buy tx | 23 sell tx | 2426 unfinished tx.
The 50 round: 19 buy tx | 30 sell tx | 2477 unfinished tx.
The 51 round: 28 buy tx | 27 sell tx | 2522 unfinished tx.
The 52 round: 23 buy tx | 24 sell tx | 2575 unfinished tx.
The 53 round: 31 buy tx | 21 sell tx | 2623 unfinished tx.
The 54 round: 22 buy tx | 22 sell tx | 2679 unfinished tx.
The 55 round: 24 buy tx | 27 sell tx | 2728 unfinished tx.
The 56 round: 24 buy tx | 24 sell tx | 2780 unfinished tx.
The 57 round: 31 buy tx | 26 sell tx | 2823 unfinished tx.
The 58 round: 32 buy tx | 24 sell tx | 2867 unfinished tx.
The 59 round: 24 buy tx | 22 sell tx | 2921 unfinished tx.
The 60 round: 25 buy tx | 23 sell tx | 2973 unfinished tx.
The 61 round: 26 buy tx | 28 sell tx | 3019 unfinished tx.
The 62 round: 33 buy tx | 23 sell tx | 3063 unfinished tx.
The 63 round: 29 buy tx | 22 sell tx | 3112 unfinished tx.
The 64 round: 23 buy tx | 37 sell tx | 3152 unfinished tx.
The 65 round: 26 buy tx | 28 sell tx | 3198 unfinished tx.
The 66 round: 27 buy tx | 23 sell tx | 3248 unfinished tx.
The 67 round: 21 buy tx | 34 sell tx | 3293 unfinished tx.
The 68 round: 25 buy tx | 28 sell tx | 3340 unfinished tx.
The 69 round: 28 buy tx | 18 sell tx | 3394 unfinished tx.
The 70 round: 27 buy tx | 27 sell tx | 3440 unfinished tx.
The 71 round: 26 buy tx | 25 sell tx | 3489 unfinished tx.
The 72 round: 31 buy tx | 14 sell tx | 3544 unfinished tx.
The 73 round: 27 buy tx | 32 sell tx | 3585 unfinished tx.
The 74 round: 21 buy tx | 23 sell tx | 3641 unfinished tx.
The 75 round: 35 buy tx | 26 sell tx | 3680 unfinished tx.
The 76 round: 28 buy tx | 28 sell tx | 3724 unfinished tx.
The 77 round: 26 buy tx | 26 sell tx | 3772 unfinished tx.
The 78 round: 33 buy tx | 20 sell tx | 3819 unfinished tx.
The 79 round: 30 buy tx | 30 sell tx | 3859 unfinished tx.
The 80 round: 30 buy tx | 28 sell tx | 3901 unfinished tx.
The 81 round: 30 buy tx | 19 sell tx | 3952 unfinished tx.
The 82 round: 30 buy tx | 36 sell tx | 3986 unfinished tx.
The 83 round: 19 buy tx | 23 sell tx | 4044 unfinished tx.
The 84 round: 28 buy tx | 24 sell tx | 4092 unfinished tx.
The 85 round: 29 buy tx | 29 sell tx | 4134 unfinished tx.
The 86 round: 29 buy tx | 33 sell tx | 4172 unfinished tx.
The 87 round: 25 buy tx | 29 sell tx | 4218 unfinished tx.
The 88 round: 22 buy tx | 26 sell tx | 4270 unfinished tx.
The 89 round: 25 buy tx | 22 sell tx | 4323 unfinished tx.
The 90 round: 17 buy tx | 30 sell tx | 4376 unfinished tx.
The 91 round: 21 buy tx | 24 sell tx | 4431 unfinished tx.
The 92 round: 23 buy tx | 26 sell tx | 4482 unfinished tx.
The 93 round: 27 buy tx | 31 sell tx | 4524 unfinished tx.
The 94 round: 26 buy tx | 29 sell tx | 4569 unfinished tx.
The 95 round: 24 buy tx | 25 sell tx | 4620 unfinished tx.
The 96 round: 23 buy tx | 26 sell tx | 4671 unfinished tx.
The 97 round: 30 buy tx | 27 sell tx | 4714 unfinished tx.
The 98 round: 20 buy tx | 28 sell tx | 4766 unfinished tx.
The 99 round: 36 buy tx | 28 sell tx | 4802 unfinished tx.
The 100 round: 26 buy tx | 26 sell tx | 4850 unfinished tx.
The 101 round: 22 buy tx | 28 sell tx | 4900 unfinished tx.
The 102 round: 25 buy tx | 25 sell tx | 4950 unfinished tx.
The 103 round: 20 buy tx | 15 sell tx | 4970 unfinished tx.
The 104 round: 6 buy tx | 9 sell tx | 4985 unfinished tx.
The 105 round: 2 buy tx | 6 sell tx | 4992 unfinished tx.
The 106 round: 4 buy tx | 3 sell tx | 4995 unfinished tx.
The 107 round: 2 buy tx | 2 sell tx | 4996 unfinished tx.
The 108 round: 2 buy tx | 0 sell tx | 4999 unfinished tx.
The 109 round: 0 buy tx | 1 sell tx | 4999 unfinished tx.
The 110 round: 0 buy tx | 1 sell tx | 4999 unfinished tx.
The 111 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 112 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 113 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 114 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 115 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 116 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 117 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 118 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 119 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 120 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 121 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 122 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 123 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 124 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 125 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 126 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 127 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 128 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 129 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 130 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 131 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 132 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 133 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 134 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 135 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 136 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 137 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 138 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 139 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 140 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 141 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 142 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 143 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 144 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 145 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 146 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 147 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 148 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 149 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
The 150 round: 0 buy tx | 0 sell tx | 5000 unfinished tx.
